message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:02.908552007Z
Werkzeug appears to be used in a production deployment. Consider switching to a production web server instead.,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904355785Z
 * Serving Flask app 'app',info,"{""level"":""info""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904358555Z
 * Debug mode: on,info,"{""level"":""info""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904361055Z
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904363715Z
 * Running on all addresses (0.0.0.0),error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904366055Z
 * Running on http://127.0.0.1:5000,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904368345Z
 * Running on http://10.204.60.3:5000,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904371015Z
[33mPress CTRL+C to quit[0m,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904373565Z
 * Restarting with stat,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904375855Z
